index,line_number,label,code_enc,tokens,has_external_call,has_require_assert,pragma_major,pragma_minor,pragma_patch
217,0.0659877800407332,0,158,3,1,0,0,4,0
159,0.0016293279022403257,1,34,7,1,0,0,4,24
76,0.2843177189409368,0,163,7,0,0,0,4,13
68,0.004073319755600814,0,145,5,0,0,0,4,25
194,0.008553971486761711,0,11,4,1,0,0,4,24
21,0.0028513238289205704,1,63,3,0,0,0,4,24
117,0.006924643584521385,1,81,6,1,0,0,4,25
45,0.005295315682281059,1,24,4,1,0,0,4,21
26,0.0008146639511201629,1,131,2,0,0,0,4,15
112,0.03340122199592668,0,79,5,1,0,0,4,19
221,0.0020366598778004076,0,37,2,1,0,0,4,25
107,0.017107942973523423,1,81,6,1,0,0,4,19
160,0.0028513238289205704,0,36,9,1,0,0,4,18
64,0.009368635437881873,1,32,7,1,0,0,4,24
113,0.006924643584521385,1,81,6,1,0,0,4,25
44,0.004480651731160895,1,119,5,0,1,0,4,21
199,0.0008146639511201629,1,133,6,1,0,0,4,23
84,0.0024439918533604886,1,154,2,0,0,0,4,25
74,0.28268839103869653,0,161,7,0,0,0,4,13
95,0.039918533604887986,1,61,9,0,0,0,4,24
171,0.013441955193482687,0,18,6,1,0,0,4,19
140,0.012627291242362525,1,151,7,0,0,0,4,15
81,0.004480651731160895,1,114,4,1,1,0,4,15
1,0.01059063136456212,1,116,5,1,1,0,4,22
214,0.039918533604887986,0,95,4,1,0,0,4,0
111,0.017107942973523423,1,81,6,1,0,0,4,19
11,0.08716904276985744,1,64,9,0,1,0,4,9
106,0.03217922606924643,0,7,2,0,0,0,4,19
27,0.0020366598778004076,1,42,2,0,0,0,4,19
138,0.17026476578411406,0,110,17,1,1,0,4,23
5,0.0020366598778004076,1,57,2,0,0,0,4,24
31,0.0020366598778004076,1,41,2,0,0,0,4,19
149,0.0,0,14,2,1,0,0,4,10
88,0.0036659877800407333,1,168,0,0,0,0,4,25
109,0.017515274949083504,1,81,6,1,0,0,4,19
142,0.000407331975560081,0,76,7,0,0,0,4,0
143,0.006109979633401223,0,124,3,0,0,0,4,0
141,0.006109979633401223,0,84,3,0,0,0,4,0
36,0.004887983706720978,1,41,2,0,0,0,4,23
219,0.006109979633401223,0,94,5,1,0,0,4,18
195,0.03584521384928717,0,53,5,1,0,0,4,23
166,0.013034623217922606,1,135,9,1,0,0,4,19
87,0.0032586558044806523,1,20,3,0,0,0,4,25
129,0.0012219959266802439,1,60,5,0,0,0,4,24
155,0.013034623217922606,1,135,9,1,0,0,4,18
144,0.0024439918533604886,1,120,3,0,1,0,4,25
80,0.28757637474541753,0,167,7,0,0,0,4,13
177,0.061099796334012225,1,5,3,1,0,0,4,9
53,0.03706720977596741,1,141,4,0,0,0,4,16
35,0.0024439918533604886,1,42,2,0,0,0,4,23
48,0.0028513238289205704,1,142,4,0,0,0,4,9
94,0.004887983706720978,0,121,7,1,1,0,4,24
131,0.006517311608961304,1,157,2,1,0,0,4,24
69,0.20814663951120163,0,128,8,0,0,0,4,13
24,0.10264765784114054,1,143,5,0,0,0,4,16
201,0.013034623217922606,0,18,6,1,0,0,4,19
116,0.011812627291242363,1,81,6,1,0,0,4,19
128,0.006109979633401223,1,118,6,1,1,0,4,10
71,0.28024439918533606,0,127,6,0,0,0,4,13
180,0.07331975560081468,1,107,12,1,0,0,4,9
162,0.0036659877800407333,0,39,4,1,0,0,4,13
49,0.0036659877800407333,1,126,11,0,0,0,4,9
208,0.007331975560081466,0,10,5,1,0,0,4,11
47,0.0020366598778004076,1,136,4,0,0,0,4,9
2,0.006109979633401223,1,109,4,0,1,0,4,25
178,0.06639511201629329,1,6,3,1,0,0,4,9
198,0.005295315682281059,1,89,7,1,0,0,4,23
43,0.004073319755600814,1,25,4,1,0,0,4,18
139,0.0024439918533604886,0,71,9,1,0,0,4,11
79,0.28676171079429735,0,166,7,0,0,0,4,13
200,0.0008146639511201629,1,133,6,1,0,0,4,24
132,0.004887983706720978,0,0,7,1,0,0,4,24
161,0.0020366598778004076,1,34,7,1,0,0,4,24
62,0.04806517311608961,0,146,6,0,0,0,4,0
37,0.007331975560081466,1,43,2,0,0,0,4,23
9,0.0859470468431772,0,65,8,0,1,0,4,9
16,0.004887983706720978,0,45,3,1,0,0,4,15
99,0.0077393075356415484,1,98,4,1,0,0,4,16
65,0.0,0,148,5,0,0,0,4,25
182,0.034623217922606926,1,8,4,1,0,0,4,18
59,0.04684317718940937,0,70,9,0,0,0,4,0
22,0.0032586558044806523,1,44,3,1,0,0,4,24
124,0.020773930753564155,1,81,6,1,0,0,4,19
63,0.048879837067209775,0,125,6,0,0,0,4,0
218,0.0032586558044806523,0,156,3,1,0,0,4,18
101,0.006517311608961304,1,106,6,1,0,0,4,2
153,0.013034623217922606,1,135,9,1,0,0,4,18
176,0.017922606924643585,0,10,5,1,0,0,4,16
204,0.05621181262729125,0,153,7,1,0,0,4,24
60,0.04725050916496945,0,144,5,0,0,0,4,0
34,0.0008146639511201629,1,22,2,0,0,0,4,25
135,0.004887983706720978,1,78,8,1,0,0,4,15
114,0.016293279022403257,1,81,6,1,0,0,4,19
197,0.049287169042769856,0,99,5,1,0,0,4,23
29,0.0016293279022403257,1,87,3,0,0,0,4,11
147,0.07698574338085541,1,152,7,1,0,0,4,24
57,0.01059063136456212,0,31,6,0,0,0,4,0
172,0.013034623217922606,0,18,6,1,0,0,4,19
28,0.0020366598778004076,0,140,4,0,0,0,4,19
157,0.006924643584521385,0,18,6,1,0,0,4,18
100,0.005295315682281059,1,69,5,0,0,0,4,2
151,0.18452138492871692,0,102,4,1,0,0,4,11
19,0.005295315682281059,1,62,4,0,0,0,4,15
136,0.0028513238289205704,1,29,7,1,0,0,4,2
