,line_number,code_enc,tokens,has_external_call,has_require_assert,pragma_major,pragma_minor,pragma_patch,label
262,0.02879156528791565,25,3,0,0,0,4,19,False
179,0.07258718572587186,207,8,1,0,0,4,9,True
435,0.0016220600162206,17,0,0,0,0,4,19,False
394,0.004460665044606651,212,4,0,1,0,4,24,False
227,0.0008110300081103001,3,1,0,0,0,4,0,False
11,0.09124087591240876,128,9,0,1,0,4,9,True
54,0.045823195458231956,59,3,0,0,0,4,16,True
439,0.005677210056772101,66,2,0,0,0,4,24,False
9,0.09002433090024331,129,8,0,1,0,4,9,True
239,0.0089213300892133,292,0,0,0,0,4,10,False
430,0.005677210056772101,160,5,0,0,0,4,19,False
58,0.01662611516626115,58,8,0,0,0,4,0,True
191,0.030008110300081103,97,7,1,0,0,4,23,True
278,0.005271695052716951,140,3,0,0,0,5,0,False
204,0.06042173560421736,275,7,1,0,0,4,24,True
113,0.0113544201135442,158,6,1,0,0,4,25,True
19,0.009732360097323601,119,4,0,0,0,4,15,True
415,0.007299270072992701,113,4,0,0,0,4,19,False
107,0.021492295214922953,158,6,1,0,0,4,19,True
240,0.006488240064882401,166,4,1,0,0,4,0,False
312,0.05028386050283861,292,0,0,0,0,4,24,False
425,0.01419302514193025,107,3,0,0,0,4,25,False
43,0.00851581508515815,57,4,1,0,0,4,18,True
256,0.0032441200324412004,82,2,0,0,0,4,25,False
137,0.1723438767234388,20,9,1,0,0,4,23,True
433,0.10056772100567721,292,0,0,0,0,4,11,False
121,0.01581508515815085,158,6,1,0,0,4,19,True
28,0.006488240064882401,258,4,0,0,0,4,19,True
284,0.00770478507704785,292,0,0,0,0,4,18,False
106,0.03649635036496351,32,2,0,0,0,4,19,True
100,0.009732360097323601,134,5,0,0,0,4,2,True
250,0.03325223033252231,23,3,0,0,0,4,25,False
235,0.021897810218978103,157,5,1,0,0,4,0,False
14,0.007299270072992701,216,4,1,1,0,4,24,True
402,0.03203568532035685,292,0,0,0,0,4,0,False
363,0.0,18,0,0,0,0,4,24,False
307,0.0036496350364963502,77,2,0,0,0,4,0,False
96,0.04541768045417681,35,5,1,0,0,4,24,True
320,0.02068126520681265,185,5,1,0,0,4,15,False
173,0.07988645579886455,274,7,1,0,0,4,24,True
182,0.038929440389294405,34,4,1,0,0,4,18,True
117,0.0113544201135442,158,6,1,0,0,4,25,True
166,0.017437145174371452,248,9,1,0,0,4,19,True
80,0.29075425790754256,291,7,0,0,0,4,13,True
208,0.011759935117599351,37,5,1,0,0,4,11,True
333,0.017842660178426603,48,6,1,0,0,4,19,False
254,0.032846715328467155,24,3,0,0,0,4,25,False
88,0.008110300081103,292,0,0,0,0,4,25,True
306,0.00040551500405515005,10,2,0,0,0,4,24,False
395,0.005677210056772101,205,1,0,0,0,4,18,False
85,0.006893755068937551,101,7,0,0,0,4,25,True
283,0.06163828061638281,292,0,0,0,0,4,16,False
252,0.008110300081103,120,2,0,0,0,4,19,False
